date,a,k
2018-11-28,3,1
2018-11-29,3,1.5
2018-11-30,3,1
2018-12-01,8,1.75
2018-12-02,12,2.62
2018-12-03,12,2.62
2018-12-04,10,2.37
2018-12-05,5,1.12
2018-12-06,5,1.37
2018-12-07,10,2.25
2018-12-08,10,2.37
2018-12-09,9,2
2018-12-10,11,2.5
2018-12-11,7,1.75
2018-12-12,4,1.25
2018-12-13,3,1
2018-12-14,3,0.75
2018-12-15,2,0.12
2018-12-16,2,0.5
2018-12-17,6,1.5
2018-12-18,7,1.75
2018-12-19,6,1.37
2018-12-20,12,2.5
2018-12-21,5,1.125
2018-12-22,3,0.62
2018-12-23,3,0.5
2018-12-24,4,0.75
2018-12-25,4,0.87
2018-12-26,3,0.62
2018-12-27,5,1.12
2018-12-28,24,3.75
2018-12-29,11,2.5
2018-12-30,10,2.25
2018-12-31,7,1.62
2019-01-01,6,1.37
2019-01-02,2,0.25
2019-01-03,2,0.5
2019-01-04,9,2
2019-01-05,15,2.62
2019-01-06,9,2.25
2019-01-07,7,1.87
2019-01-08,6,1.62
2019-01-09,4,1
2019-01-10,4,0.87
2019-01-11,7,1.5
2019-01-12,3,0.75
2019-01-13,3,0.75
2019-01-14,6,1.75
2019-01-15,5,1.37
2019-01-16,6,1.5
2019-01-17,7,1.75
2019-01-18,6,1.5
