date,a,k,solar_flux
2018-11-28,5,0,67
2018-11-29,3,2,67
2018-11-30,3,0,67
2018-12-01,2,3,68
2018-12-02,8,2,69
2018-12-03,12,1,69
2018-12-04,10,2,67
2018-12-05,8,1,70
2018-12-06,5,2,70
2018-12-07,5,2,69
2018-12-08,10,3,70
2018-12-09,10,1,71
2018-12-10,9,2,71
2018-12-11,11,2,71
2018-12-12,7,1,70
2018-12-13,4,1,70
2018-12-14,2,1,71
2018-12-15,3,0,71
2018-12-16,2,1,72
2018-12-17,2,2,70
2018-12-18,6,2,70
2018-12-19,7,2,70
2018-12-20,6,2,70
2018-12-21,12,0,70
2018-12-22,5,1,70
2018-12-23,3,1,70
2018-12-24,4,1,69
2018-12-25,4,1,69
2018-12-26,4,1,69
2018-12-27,3,0,68
2018-12-28,4,3,70
2018-12-29,24,3,68
2018-12-30,11,3,69
2018-12-31,10,3,69
2019-01-01,6,1,70
2019-01-02,6,0,73
2019-01-03,2,1,74
2019-01-04,2,3,72
2019-01-05,9,2,72
2019-01-06,15,3,72
2019-01-07,9,2,72
2019-01-08,7,1,71
2019-01-09,6,1,70
2019-01-10,4,2,70
2019-01-11,8,1,68
2019-01-12,6,0,68
2019-01-13,3,0,69
2019-01-14,3,2,70
2019-01-15,6,1,69
2019-01-16,5,2,69
2019-01-17,6,1,69
2019-01-18,7,1,69
2019-01-19,6,0,69
