date,a,k,solar_flux
2018-11-28,3,1,68.400002
2018-11-29,3,0,68.400002
2018-11-30,3,0,68.400002
2018-12-01,8,3,67.800003
2018-12-02,12,3,67.800003
2018-12-03,10,3,67.800003
2018-12-04,8,2,67.800003
2018-12-05,5,1,67.800003
2018-12-06,5,1,67.800003
2018-12-07,10,2,67.800003
2018-12-08,10,3,67.800003
2018-12-09,9,3,67.800003
2018-12-10,11,2,67.800003
2018-12-11,7,2,67.800003
2018-12-12,4,1,67.800003
2018-12-13,3,1,67.800003
2018-12-14,3,1,67.800003
2018-12-15,2,0,67.800003
2018-12-16,2,1,67.800003
2018-12-17,6,2,67.800003
2018-12-18,7,2,67.800003
2018-12-19,6,2,67.800003
2018-12-20,12,2,67.800003
2018-12-21,5,0,67.800003
2018-12-22,3,0,67.800003
2018-12-23,3,0,67.800003
2018-12-24,4,1,67.800003
2018-12-25,4,1,67.800003
2018-12-26,3,1,67.800003
2018-12-27,5,1,67.800003
2018-12-28,24,3,67.800003
2018-12-29,11,2,67.800003
2018-12-30,10,3,67.800003
2018-12-31,7,1,67.800003
2019-01-01,6,1,67.199997
2019-01-02,2,1,67.199997
2019-01-03,2,0,67.199997
2019-01-04,9,3,67.199997
2019-01-05,15,2,67.199997
2019-01-06,9,2,67.199997
2019-01-07,7,1,67.199997
2019-01-08,6,1,67.199997
2019-01-09,4,0,67.199997
2019-01-10,4,0,67.199997
2019-01-11,7,1,67.199997
2019-01-12,3,1,67.199997
2019-01-13,3,0,67.199997
2019-01-14,6,2,67.199997
2019-01-15,5,1,67.199997
2019-01-16,6,1,67.199997
2019-01-17,7,2,67.199997
2019-01-18,6,1,67.199997
2019-01-19,4,0,67.199997
